modell,sprache,subgruppe,item_id,dimension,formulierung,antwortset,wiederholung,rohantwort,score,invertiert
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,1,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,2,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,3,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,4,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,5,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,6,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,7,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,8,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,9,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,10,Yes,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,1,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,2,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,3,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,4,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,5,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,6,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,7,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,8,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,9,Completely Agree,100,False
openai/gpt-5.4,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,10,Completely Agree,100,False
