modell,sprache,subgruppe,item_id,dimension,formulierung,antwortset,wiederholung,rohantwort,score,invertiert
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set1,1,Yes,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set2,1,Completely Agree,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS1,Nuklearer Souveränitätsanspruch,F1,Set3,1,1,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS2,Nuklearer Souveränitätsanspruch,F1,Set1,1,Yes,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS2,Nuklearer Souveränitätsanspruch,F1,Set2,1,Completely Agree,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS2,Nuklearer Souveränitätsanspruch,F1,Set3,1,1,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS3,Nuklearer Souveränitätsanspruch,F1,Set1,1,Yes,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS3,Nuklearer Souveränitätsanspruch,F1,Set2,1,Completely Agree,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS3,Nuklearer Souveränitätsanspruch,F1,Set3,1,1,100,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS4,Nuklearer Souveränitätsanspruch,F1,Set1,1,No,0,True
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS4,Nuklearer Souveränitätsanspruch,F1,Set2,1,Rather Disagree,25,True
deepseek/deepseek-v3.2,EN,Hardline-Principlists,NS4,Nuklearer Souveränitätsanspruch,F1,Set3,1,1,100,True
deepseek/deepseek-v3.2,EN,Hardline-Principlists,VB1,Verhandlungsbereitschaft,F1,Set1,1,No,0,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,VB1,Verhandlungsbereitschaft,F1,Set2,1,Rather Disagree,25,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,VB1,Verhandlungsbereitschaft,F1,Set3,1,3,25,False
deepseek/deepseek-v3.2,EN,Hardline-Principlists,VB2,Verhandlungsbereitschaft,F1,Set1,1,Rather No,25,False
